
INFO 2020-10-23 16:04:33,951 登录功能开始
INFO 2020-10-23 16:04:34,020 ---输入用户名---
INFO 2020-10-23 16:04:34,085 输入密码
INFO 2020-10-23 16:04:34,135 点击登录
INFO 2020-10-23 16:04:34,140 -获取弹出框内容-
INFO 2020-10-23 16:19:39,022 登录功能开始
INFO 2020-10-23 16:19:39,092 ---输入用户名---
INFO 2020-10-23 16:19:39,144 输入密码
INFO 2020-10-23 16:19:39,211 点击登录
INFO 2020-10-23 16:19:39,214 -获取弹出框内容-
INFO 2020-10-23 16:21:11,917 登录功能开始
INFO 2020-10-23 16:21:11,980 ---输入用户名---
INFO 2020-10-23 16:21:12,034 输入密码
INFO 2020-10-23 16:21:12,081 点击登录
INFO 2020-10-23 16:21:12,083 -获取弹出框内容-
INFO 2020-10-23 16:22:47,658 登录功能开始
INFO 2020-10-23 16:22:47,763 ---输入用户名---
INFO 2020-10-23 16:22:47,822 输入密码
INFO 2020-10-23 16:22:47,881 点击登录
INFO 2020-10-23 16:22:47,883 -获取弹出框内容-
INFO 2020-10-23 16:41:59,508 登录功能开始
INFO 2020-10-23 16:41:59,565 ---输入用户名---
INFO 2020-10-23 16:41:59,625 输入密码
INFO 2020-10-23 16:41:59,673 点击登录
INFO 2020-10-23 16:41:59,675 -获取弹出框内容-
INFO 2020-10-23 16:47:09,930 登录功能开始
INFO 2020-10-23 16:47:09,994 ---输入用户名---
INFO 2020-10-23 16:47:10,055 输入密码
INFO 2020-10-23 16:47:10,105 点击登录
INFO 2020-10-23 16:47:10,108 -获取弹出框内容-
INFO 2020-10-23 16:54:14,359 登录功能开始
INFO 2020-10-23 16:54:14,411 ---输入用户名---
INFO 2020-10-23 16:54:14,457 输入密码
INFO 2020-10-23 16:54:14,508 点击登录
INFO 2020-10-23 16:54:14,513 -获取弹出框内容-
